Tahun,Brand,Model,EngineSize,Jarak,Transmisi,Harga
2017,Toyota,Avanza,1.3,80000,Manual,130000000
2017,Toyota,Avanza,1.3,85102,Manual,130000000
2017,Toyota,Avanza,1.3,117600,Manual,115000000
2017,Toyota,Avanza,1.3,56222,Automatic,150140000
2017,Toyota,Avanza,1.3,80217,Manual,145306000
2017,Toyota,Avanza,1.3,110961,Automatic,148800000
2017,Toyota,Avanza,1.3,59604,Manual,148313000
2017,Toyota,Avanza,1.3,95223,Automatic,156600000
2017,Toyota,Avanza,1.3,37214,Manual,149186000
2017,Toyota,Avanza,1.3,60000,Automatic,155000000
2017,Toyota,Avanza,1.3,100000,Automatic,161500000
2017,Toyota,Avanza,1.3,60000,Manual,152900000
2017,Toyota,Avanza,1.3,80000,Automatic,160000000
2017,Toyota,Avanza,1.3,45000,Manual,145000000
2017,Toyota,Avanza,1.3,85000,Automatic,167300000
2017,Toyota,Avanza,1.3,115000,Automatic,153500000
2017,Toyota,Avanza,1.3,40000,Manual,149186000
2017,Toyota,Avanza,1.3,50000,Automatic,135000000
2017,Toyota,Avanza,1.3,60000,Automatic,157140000
2017,Toyota,Avanza,1.3,60000,Automatic,155000000
2017,Toyota,Avanza,1.3,60000,Automatic,155000000
2017,Toyota,Avanza,1.3,115000,Automatic,148800000
2017,Toyota,Avanza,1.3,60000,Automatic,155000000
2017,Toyota,Avanza,1.3,60000,Automatic,155000000
2017,Toyota,Avanza,1.3,50000,Automatic,149999998
2017,Toyota,Avanza,1.3,95300,Automatic,156000000
2017,Toyota,Avanza,1.3,100000,Automatic,161500000
2017,Toyota,Avanza,1.3,95000,Automatic,161500000
2017,Toyota,Avanza,1.3,100000,Automatic,161500000
2017,Toyota,Avanza,1.3,100000,Automatic,161500000
2017,Toyota,Avanza,1.3,55000,Manual,155000000
2017,Toyota,Avanza,1.3,54000,Manual,152500000
2018,Toyota,Avanza,1.3,61600,Automatic,173000000
2018,Toyota,Avanza,1.3,67200,Manual,160000000
2018,Toyota,Avanza,1.3,95200,Manual,125000000
2018,Toyota,Avanza,1.3,89968,Automatic,153200000
2018,Toyota,Avanza,1.3,37308,Manual,169700000
2018,Toyota,Avanza,1.3,63295,Automatic,164900000
2018,Toyota,Avanza,1.3,90000,Automatic,158000000
2018,Toyota,Avanza,1.3,65000,Automatic,170000000
2018,Toyota,Avanza,1.3,40000,Manual,175000000
2018,Toyota,Avanza,1.3,90000,Automatic,153200000
2018,Toyota,Avanza,1.3,40000,Manual,169700000
2018,Toyota,Avanza,1.3,80000,Manual,159000000
2019,Toyota,Avanza,1.3,19636,Automatic,182000000
2019,Toyota,Avanza,1.3,19854,Manual,176000000
2019,Toyota,Avanza,1.3,30025,Automatic,174000000
2019,Toyota,Avanza,1.3,45935,Automatic,174000000
2019,Toyota,Avanza,1.3,22400,Automatic,173000000
2019,Toyota,Avanza,1.3,7434,Automatic,172000000
2019,Toyota,Avanza,1.3,22400,Manual,170000000
2019,Toyota,Avanza,1.3,39200,Automatic,168000000
2019,Toyota,Avanza,1.3,84000,Automatic,164000000
2019,Toyota,Avanza,1.3,63059,Manual,176500000
2019,Toyota,Avanza,1.3,29185,Automatic,195400000
2019,Toyota,Avanza,1.3,30000,Automatic,201500000
2019,Toyota,Avanza,1.3,5000,Automatic,195000000
2019,Toyota,Avanza,1.3,67000,Manual,178999998
2019,Toyota,Avanza,1.3,70000,Manual,184000000
2019,Toyota,Avanza,1.3,65000,Manual,182000000
2019,Toyota,Avanza,1.3,20000,Automatic,187500000
2019,Toyota,Avanza,1.3,60000,Automatic,184000000
2020,Toyota,Avanza,1.3,29000,Manual,150000000
2020,Toyota,Avanza,1.3,32166,Automatic,184700000
2020,Toyota,Avanza,1.3,35000,Automatic,191500000
2020,Toyota,Avanza,1.3,80000,Manual,189000000
2020,Toyota,Avanza,1.3,25000,Manual,193000000
2021,Toyota,Avanza,1.3,5119,Manual,190605000
2021,Toyota,Avanza,1.3,4981,Automatic,203700000
2021,Toyota,Avanza,1.3,3043,Automatic,203700000
2021,Toyota,Avanza,1.3,5000,Automatic,210000000
2021,Toyota,Avanza,1.3,5000,Automatic,210000000
2021,Toyota,Avanza,1.3,10000,Manual,196500000
2021,Toyota,Avanza,1.3,10000,Manual,196500000
2021,Toyota,Avanza,1.3,5000,Automatic,200700000
2012,Toyota,Avanza,1.5,15000,Automatic,125000000
2013,Toyota,Avanza,1.5,117353,Manual,115000000
2013,Toyota,Avanza,1.5,85000,Automatic,125000000
2013,Toyota,Avanza,1.5,185000,Automatic,118500000
2013,Toyota,Avanza,1.5,140000,Automatic,125000000
2014,Toyota,Avanza,1.5,22538,Automatic,135000000
2014,Toyota,Avanza,1.5,50400,Automatic,135000000
2014,Toyota,Avanza,1.5,70000,Automatic,125000000
2014,Toyota,Avanza,1.5,179200,Manual,120000000
2014,Toyota,Avanza,1.5,110662,Manual,141135000
2014,Toyota,Avanza,1.5,115000,Manual,141135000
2014,Toyota,Avanza,1.5,160000,Manual,130000000
2015,Toyota,Avanza,1.5,72800,Manual,140000000
2015,Toyota,Avanza,1.5,60000,Automatic,125000000
2015,Toyota,Avanza,1.5,9234,Automatic,151987500
2015,Toyota,Avanza,1.5,79097,Automatic,160800000
2015,Toyota,Avanza,1.5,95000,Automatic,157500000
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,146487500
2015,Toyota,Avanza,1.5,95000,Automatic,149000000
2016,Toyota,Avanza,1.5,51642,Manual,156000000
2016,Toyota,Avanza,1.5,29000,Automatic,153000000
2016,Toyota,Avanza,1.5,61600,Manual,148000000
2016,Toyota,Avanza,1.5,60000,Automatic,143000000
2016,Toyota,Avanza,1.5,60000,Automatic,158000000
2017,Toyota,Avanza,1.5,60000,Automatic,156000000
2017,Toyota,Avanza,1.5,86478,Automatic,167300000
2017,Toyota,Avanza,1.5,80599,Automatic,161000000
2017,Toyota,Avanza,1.5,85000,Automatic,167300000
2017,Toyota,Avanza,1.5,85000,Automatic,167300000
2017,Toyota,Avanza,1.5,85000,Automatic,167300000
2017,Toyota,Avanza,1.5,85000,Automatic,167300000
2017,Toyota,Avanza,1.5,85000,Automatic,167300000
2017,Toyota,Avanza,1.5,85000,Automatic,167300000
2017,Toyota,Avanza,1.5,85000,Automatic,167300000
2017,Toyota,Avanza,1.5,85000,Automatic,167300000
2017,Toyota,Avanza,1.5,90000,Automatic,172500000
2018,Toyota,Avanza,1.5,39200,Automatic,178000000
2018,Toyota,Avanza,1.5,58283,Automatic,176000000
2018,Toyota,Avanza,1.5,47232,Automatic,175000000
2018,Toyota,Avanza,1.5,11303,Manual,171000000
2018,Toyota,Avanza,1.5,56000,Automatic,166000000
2018,Toyota,Avanza,1.5,16800,Manual,164000000
2018,Toyota,Avanza,1.5,84000,Automatic,160000000
2018,Toyota,Avanza,1.5,72800,Automatic,159000000
2018,Toyota,Avanza,1.5,46002,Automatic,183800000
2018,Toyota,Avanza,1.5,50000,Automatic,189500000
2019,Toyota,Avanza,1.5,39200,Automatic,202000000
